question_num,question_text,option_a,option_b,option_c,option_d,correct_answer,points
1,What are the observational units in a study of exercise and heart rate?,Heart rate measurements,Volunteers,Exercise sessions,Minutes,B,2
2,Is heart rate a categorical or quantitative variable?,Categorical,Quantitative,Ordinal,Nominal,B,2
3,Students self-select to attend office hours. Can we conclude office hours cause higher exam scores?,Yes - clear relationship exists,Yes - students improved,No - lack of random assignment,No - sample too small,C,2
4,Which plot is best for displaying test scores (0-100) for 120 students?,Bar graph,Scatterplot,Histogram,Pie chart,C,2
5,What is the statistic if 68% of 200 students in a sample use social media >2 hours/day?,The population proportion,68% or 0.68,200 students,Social media usage,B,2
6,"A 95% CI for proportion is (0.614, 0.746). What is the margin of error?",0.132,0.680,0.066,0.025,C,2
7,A researcher surveys students at the library entrance. What sampling method?,Random sampling,Stratified sampling,Convenience sampling,Systematic sampling,C,2
8,"Events A and B are independent. P(A)=0.4 and P(B)=0.7. Calculate P(A|B).",0.28,0.4,0.7,0.82,B,2
9,"Events A and B are independent. P(A)=0.4 and P(B)=0.7. Calculate P(A∩B).",0.28,0.4,0.7,0.82,A,2
10,"Events C and D are mutually exclusive. P(C)=0.25 and P(D)=0.35. Calculate P(C|D).",0.25,0.35,0.6,0,D,2
11,"Events C and D are mutually exclusive. P(C)=0.25 and P(D)=0.35. Calculate P(C∪D).",0.25,0.35,0.6,0,C,2
12,What probability concept: probability a lightbulb lasts less than 1000 hours?,PMF for discrete RV,PDF for continuous RV,CDF for discrete RV,CDF for continuous RV,D,2
13,What probability concept: probability a die shows exactly 4?,PMF for discrete RV,PDF for continuous RV,CDF for discrete RV,CDF for continuous RV,A,2
14,What probability concept: probability email is spam given it has certain keywords?,PMF,CDF,Conditional probability,Bayes' Theorem,D,2
15,Which test: Is the average height of male cadets greater than 70 inches?,One-proportion z-test,One-sample t-test,Two-sample t-test,Chi-square test,B,2
16,Which test: Do engineering majors have higher GPAs than humanities majors?,One-proportion z-test,One-sample t-test,Two-sample t-test,Paired t-test,C,2
17,Which test: Is there a relationship between hours of sleep and GPA?,One-sample t-test,Two-sample t-test,Correlation/regression,Chi-square test,C,2
18,Which test: Does GPA depend on sleep hours after controlling for study hours?,One-sample t-test,Simple linear regression,Multiple linear regression,Two-sample t-test,C,2
19,"Coin flipped 100 times, 58 heads. Test if fair (π=0.5) at α=0.05. What is p̂?",0.5,0.58,1.6,0.11,B,2
20,"Coin flipped 100 times, 58 heads. SE = √[π₀(1-π₀)/n] = ?",0.05,0.58,1.6,0.11,A,2
21,"Coin flipped 100 times, 58 heads. z = (0.58-0.5)/0.05 = ?",0.05,0.58,1.6,0.11,C,2
22,"Coin test: p-value = 0.11, α=0.05. Decision?",Reject H₀,Fail to reject H₀,Accept H₀,Inconclusive,B,2
23,"Group A: n=25, x̄=82, s=8. Group B: n=28, x̄=87, s=7. What is x̄ᵦ - x̄ₐ?",5,82,87,2.05,A,2
24,"Group A vs B (previous). SE = √(8²/25 + 7²/28) = ?",2.05,2.44,5,0.009,A,2
25,"Group A vs B. t = 5/2.05 = ?",2.05,2.44,5,0.009,B,2
26,"Group A vs B. p-value = 0.009, α=0.05. Decision?",Reject H₀,Fail to reject H₀,Accept H₀,Need more data,A,2
27,Can we infer causality if students self-selected their study method?,Yes - clear difference exists,Yes - randomized design,No - lack of random assignment,No - sample too small,C,2
28,10 students take pre-test then post-test. Which test is appropriate?,One-sample t-test,Two-sample t-test,Paired t-test,One-proportion z-test,C,3
29,"Paired data: d̄=4.3, sᵈ=1.77, n=10. Calculate t = d̄/(sᵈ/√n)",7.68,4.3,1.77,0.56,A,3
30,"Regression: ŷ = 45.2 + 3.8x where x=study hours. What does 3.8 represent?",Intercept,Score with 0 hours study,Increase in score per hour,Correlation coefficient,C,3
31,"Regression: ŷ = 45.2 + 3.8x. Predict score for x=8 hours.",45.2,3.8,75.6,83.6,C,3
32,"Regression: R² = 0.631. What percent of variation is explained?",6.31%,63.1%,36.9%,79.4%,B,2
33,"Regression: R² = 0.631. What is correlation r (slope is positive)?",0.631,0.369,0.794,0.397,C,2
34,"Multiple regression: Price = 85 + 0.12(SqFt) + 15(Beds) + 35(Urban). Interpret 35.",Each bedroom adds $35k,Each sq ft adds $35k,Urban costs $35k more,Intercept for urban homes,C,3
35,"Price model: predict for 2000 sq ft, 3-bed urban house (85+0.12*2000+15*3+35*1)",325,405,440,365,B,3
36,"In Price model, coefficient for Beds has p=0.005. Significant at α=0.05?",Yes,No,Cannot determine,Need more data,A,2
37,Ice cream trucks correlated with crime. Can we conclude trucks cause crime?,Yes - strong correlation,Yes - clear relationship,No - confounding variable likely,No - need more data,C,2
38,"Factory: Machine A (40%), B (35%), C (25%). Defects: A=2%, B=4%, C=3%. P(defective)?",0.0295,0.04,0.025,0.35,A,3
39,"Given defective widget (from above) came from Machine B. Use which rule?",Addition rule,Multiplication rule,Bayes' Theorem,Complement rule,C,2
40,"Soccer goals X: P(0)=0.15, P(1)=0.30, P(2)=0.35, P(3)=0.15, P(4)=0.05. Find P(X≤2).",0.35,0.55,0.80,0.20,C,2
41,"Soccer goals X (above). Find E(X) = Σx·P(x).",1.0,1.65,2.0,0.8,B,3
42,"Soccer goals X. E(X²)=3.95 and E(X)=1.65. Find Var(X) = E(X²)-[E(X)]².",1.23,2.73,3.95,5.60,A,3
43,"If Y = 3X + 5 and E(X)=1.65, find E(Y)=3E(X)+5.",4.95,9.95,11.95,6.65,B,2
44,"If Y = 3X + 5 and Var(X)=1.23, find Var(Y)=3²·Var(X).",1.23,3.69,11.05,33.15,C,3
45,"PDF: f(x)=0.5x for 0≤x≤2. CDF: F(x)=?",x/2,x²/4,0.5x,x²/2,B,3
46,"CDF: F(t)=t²/100 for 0≤t≤10. Find PDF: f(t)=F'(t)=?",t/100,t²/100,t/50,2t/100,C,3
47,"CDF: F(t)=t²/100 for 0≤t≤10. Find P(T≤5)=F(5).",0.05,0.25,0.50,0.75,B,2
48,"95% CI for mean GPA is (3.21, 3.47). What is point estimate?",3.21,3.34,3.47,3.68,B,2
49,Will the sample mean always be inside its confidence interval?,Yes,No,Only if n>30,Only at 95% level,A,2
50,"Test gives p=0.032 with α=0.05. Decision?",Reject H₀,Fail to reject H₀,Accept H₀,Inconclusive,A,2
